Principle,UserFeedback
可解釋性分析,"【官方核准登錄高分範例】
填報醫院：新北仁康醫院
AI模型案名：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
指標項目：可解釋性分析
核准填報內容：
""心率AI模型可解釋性：
• 模型採用卷積神經網路（CNN），特性在於使用卷積層理解輸入資料並從中提取用於判斷的特徵。
• 感測器反射波形中較大的振動反映呼吸胸腔起伏；CNN 自其中提取細微振動之幅度、速度、加速度等特徵，作為判斷心搏發生時點並換算成心率（每分鐘心跳次數）的依據。"""
介入詳情及輸出,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人林口長庚紀念醫院
AI模型案名：腕部舟狀骨骨折偵測軟體
指標項目：介入詳情及輸出
核准填報內容：
""本軟體是將疑似患有腕部舟狀骨骨折之病人，將手腕部X 光PA view DICOM 影像放入輸入資料夾後，即可自動判讀，提供腕部舟狀骨位置以及「檢測出(fracture)」、「未檢測出(non-fracture)」文字標注之資訊於輸出圖片中。"""
介入目的,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人林口長庚紀念醫院
AI模型案名：腕部舟狀骨骨折偵測軟體
指標項目：介入目的
核准填報內容：
""長庚紀念醫院腕部舟狀骨骨折偵測軟體為醫療影像輔助分析軟體，限於可執行醫療診斷之醫師使用，且醫事人員須具備電腦基本操作能力方可使用此軟體。"""
警告與範圍外使用,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人林口長庚紀念醫院
AI模型案名：腕部舟狀骨骨折偵測軟體
指標項目：警告與範圍外使用
核准填報內容：
""適用在年齡在20 歲以上病患、疑似有手腕腕部舟狀骨骨折之病患的手腕部X 光DICOM 影像(左右手均可，僅適用於PAview 影像)，分析結果僅供醫師診斷參考，不做相關診斷唯一依據，也不做是否罹患骨折的診斷依據，還是須以醫師的判斷為最終診斷結果。"""
開發詳情及輸入特徵,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人林口長庚紀念醫院
AI模型案名：腕部舟狀骨骨折偵測軟體
指標項目：開發詳情及輸入特徵
核准填報內容：
""本軟體採用閉鎖式(Locked)演算法設計，利用深度學習卷積神經網路(Convolutional neural network)，偵測腕部舟狀骨骨折與否。使用先進的深度學習演算法，主要採用EfficientNet Architecture。這些演算法使用大量的手部Xray 影像，其中包含舟狀骨骨折及沒有骨折的樣本進行訓練，其中舟狀骨骨折判讀的金標準為CT/MRI 影像報告結果及三位手外科醫師的共識決。"""
確保公平性的過程,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人林口長庚紀念醫院
AI模型案名：腕部舟狀骨骨折偵測軟體
指標項目：確保公平性的過程
核准填報內容：
""這套人工智慧系統使用2006.01.01~2020.12.31 期間病人有拍攝手部影像的資料為基礎，並串連影像科報告
資料搜尋出有拍攝手部影像的報告，分為兩個大資料集骨折組(case)、正常組(control)，再經專業放射師確認排除非精準PA view(這裡指擺位正確但角度可能稍微傾斜之資料)影像後，作為訓練資料。相關訓練及驗證資料進行分析後，盡量確保其代表性與公平性的平衡。"""
外部驗證過程,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人林口長庚紀念醫院
AI模型案名：腕部舟狀骨骨折偵測軟體
指標項目：外部驗證過程
核准填報內容：
""臨床試驗計劃書中的納入及排除條件進行篩選，並請一名放射科醫師來進行影像品質的確認後，排除部份影像，之後請三位放射科醫師，進行參考標準的判讀。並與美國密西根大學進行軟體驗證應用，邀請台灣美國共120 位醫師進行軟體驗證，當中有37 位手外科專科醫師、52 位整形外科醫師及83 為主治醫師。使用本軟體系統輔助時，隱匿性舟骨 X光片的準確率高於不使用人工智慧系統輔助時（AC1 分別為 0.42 [95% CI 0.17 至0.68] 和 0.06 [95% CI 0.00 至 0.17]）。在診斷時間（18 ± 12 秒 vs 30 ± 27秒，平均差 12 秒 [95% CI 6 至 17]；p< 0.001）。診斷信心水準為7.2 ± 1.7秒，隱匿性骨折的平均時間為6.2 ± 1.6秒；平均差異1 秒[95% CI 0.5 至1.3]；p< 0.001)。"""
量化表現指標,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人林口長庚紀念醫院
AI模型案名：腕部舟狀骨骨折偵測軟體
指標項目：量化表現指標
核准填報內容：
""通過量化指標顯示，本軟體具備良好成效，計算後的量化性能指標如下:AUROC 為 90%，敏感性sensitivity 為89.8%，特異性 specificity 為 89.7%。陽性預測值(positive predictive value)為88.7%，陰性預測值(negative predictive value)為 90.8%，假陽性率(false positive rate)為10.2%，假陰性率(false negative
rate)為10.1%。顯示本腕部舟狀骨骨折輔助判讀軟體醫材面對全新的醫療影像資料，也能有相當良好的判斷結果。"""
持續維護與監控,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人林口長庚紀念醫院
AI模型案名：腕部舟狀骨骨折偵測軟體
指標項目：持續維護與監控
核准填報內容：
""我們有專門的團隊負責在系統部署後的監控，處理任何問題，本軟體應用介面設有用戶反饋，確保使用正確性，設有即時處理反應問題。"""
更新與持續驗證計畫,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人林口長庚紀念醫院
AI模型案名：腕部舟狀骨骨折偵測軟體
指標項目：更新與持續驗證計畫
核准填報內容：
""本軟體以介接臨床系統，將根據輸入之真實世界影像進行敏感性(sensitivity)與特異性(specificity)指標進行評估，以確保系統的穩定與正確性。更新和驗證結果會定期公布，並且當敏感性與特異性低於80%時，系統將會抽取新的影像資料及臨床醫師所回饋的內容進行資料的重新訓練，當性能重新提升至90%時再重新恢復使用，同時也將定期每半年至一年依據臨床醫師回饋的問題進行彙整後，評估軟體是否部署更新機制。"""
可解釋性分析,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人林口長庚紀念醫院
AI模型案名：腕部舟狀骨骨折偵測軟體
指標項目：可解釋性分析
核准填報內容：
""1.在判斷出舟狀骨骨折可能的位置後，進行圖片影像的處理，並將骨折可能發生的位置熱圖或是轉換成紅框後重疊回原圖提示給使用者。
2.該影像熱圖是透過Grad-CAM技術，讓使用者利於理解模型預測結果，讓使用者可對於顯示的資訊，評估是否為較高機率出現骨折的可能。"""
介入詳情及輸出,"【官方核准登錄高分範例】
填報醫院：彰化基督教醫療財團法人彰化基督教醫院
AI模型案名：天秤肺影
指標項目：介入詳情及輸出
核准填報內容：
""以人工智慧技術偵測疑似肺結節病灶，並透過網頁介面呈現結果如下：
1. 自動於影像中標記肺結節之 VOI（Volume of Interests）。
2. 提供對應肺結節之類型（Class）、肺葉位置（Lobe）、長短軸（Axes）及體積（Volume）資訊。"""
介入目的,"【官方核准登錄高分範例】
填報醫院：彰化基督教醫療財團法人彰化基督教醫院
AI模型案名：天秤肺影
指標項目：介入目的
核准填報內容：
""系統旨在輔助專科醫師判讀胸腔電腦斷層（CT）之肺結節影像，協助專科醫師及早發現肺結節、輔助比較與調整確認的參數、Lung-RADS 等級計算，取得相關量測數據，協助相關醫師準確快速地完成報告之製作。"""
警告與範圍外使用,"【官方核准登錄高分範例】
填報醫院：彰化基督教醫療財團法人彰化基督教醫院
AI模型案名：天秤肺影
指標項目：警告與範圍外使用
核准填報內容：
""本系統自動偵測之肺結節資訊僅提供臨床參考。醫師使用本系統時，應依專業判斷透過系統工具增加、修訂及刪除肺結節標記。最終的診斷必須由醫事人員依據原始影像，基於專業知識和經驗作為診斷結果。
**適應症：**個案須為尚未進行肺葉切除、楔形切除、胸腔鏡手術等胸腔手術，並未有縱膈腔異常、肋膜積水、骨頭轉移等。"""
開發詳情及輸入特徵,"【官方核准登錄高分範例】
填報醫院：彰化基督教醫療財團法人彰化基督教醫院
AI模型案名：天秤肺影
指標項目：開發詳情及輸入特徵
核准填報內容：
""異常個案收案條件：
1. 影像個案須為尚未進行肺葉切除、楔形切除、胸腔鏡手術等胸腔手術。
2. Stage 需小於等於 T1，且 M Stage 須為 M0。
正常個案收案條件：
篩選臺大醫院胸部電腦斷層影像報告為「無異常」，且 Lung-RADS（v1.0）為 1 的影像；正常個案影像均須具獨立性，非屬模型訓練或測試資料來源。模型訓練時使用之訓練資料集不包含任何用於模型測試之資料集。"""
確保公平性的過程,"【官方核准登錄高分範例】
填報醫院：彰化基督教醫療財團法人彰化基督教醫院
AI模型案名：天秤肺影
指標項目：確保公平性的過程
核准填報內容：
""測試資料集與國內衛生福利部國民健康署公告 2020 年癌症登記報告對應，測試資料集與國內肺癌流行病學之年齡、男女比例分布相似，並經過食藥署審查通過。"""
外部驗證過程,"【官方核准登錄高分範例】
填報醫院：彰化基督教醫療財團法人彰化基督教醫院
AI模型案名：天秤肺影
指標項目：外部驗證過程
核准填報內容：
""在不同醫療機構使用的外部資料集上進行驗證，這些資料集不包含訓練資料，並確認在各種臨床環境和產品描述的病患群體中的準確性與適用性。"""
量化表現指標,"【官方核准登錄高分範例】
填報醫院：彰化基督教醫療財團法人彰化基督教醫院
AI模型案名：天秤肺影
指標項目：量化表現指標
核准填報內容：
""使用 Recall（召回率）及 Average False Positive/Scan（每組掃描之平均偽陽性）作為系統量化指標，在合理之平均偽陽性下挑選最高之召回率。
天秤肺影系統於國內醫學中心測試，AI 模型在偵測肺結節最大直徑 4 mm（含）至 30 mm（含）之 FROC 表現，平均每例偽陽個數為 0.6 時，靈敏度（Sensitivity）為 92%（衛部醫器製字第008042號）。"""
持續維護與監控,"【官方核准登錄高分範例】
填報醫院：彰化基督教醫療財團法人彰化基督教醫院
AI模型案名：天秤肺影
指標項目：持續維護與監控
核准填報內容：
""我們有專門的研發團隊負責系統部署後的問題處理，以及提供系統升級服務；當使用者有任何操作問題或新需求時，都可與我們團隊聯繫。"""
更新與持續驗證計畫,"【官方核准登錄高分範例】
填報醫院：彰化基督教醫療財團法人彰化基督教醫院
AI模型案名：天秤肺影
指標項目：更新與持續驗證計畫
核准填報內容：
""持續接受各院提供之回饋資料，並維持資料集與程式的持續性建構管理，確保清晰的發展歷程與驗證成效，每年會進行模型訓練更新。系統運作期間，採封閉式模型，系統不會因運作而有所變化，可持續運作。"""
可解釋性分析,"【官方核准登錄高分範例】
填報醫院：彰化基督教醫療財團法人彰化基督教醫院
AI模型案名：天秤肺影
指標項目：可解釋性分析
核准填報內容：
""本系統提供肺結節位置（VOI）、類型、肺葉位置、長短軸及體積等資訊，協助使用者了解 AI 判讀依據。AI 判讀結果僅供臨床參考，醫師可檢視、修正或刪除系統標記，最終診斷仍須依原始影像及臨床判斷完成，確保判讀具透明性、可追溯性及可解釋性。"""
介入詳情及輸出,"【官方核准登錄高分範例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型案名：氣管內管位置異常警示系統
指標項目：介入詳情及輸出
核准填報內容：
""本系統採用 YOLOv5 模型進行訓練，並使用 3,261 張胸部 X 光影像樣本進行模型訓練，其中 326 張影像樣本用於模型測試，另有 546 張未納入訓練資料集之影像樣本進行外部驗證，以評估模型於不同資料集之泛化能力。
系統透過偵測胸部 X 光影像中的氣管隆突（Carina）位置，判斷是否存在氣管內管（Endotracheal Tube, ETT）或氣切管（Tracheostomy Tube, TT），並於偵測到 Carina 與 ETT 且未偵測到 TT 時，自動量測 ETT 管尖至 Carina 之距離，作為氣管內管位置評估之依據，以協助臨床診斷與治療評估。"""
介入目的,"【官方核准登錄高分範例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型案名：氣管內管位置異常警示系統
指標項目：介入目的
核准填報內容：
""本系統應用於 ICU、急診、呼吸照護病房及一般病房，針對接受氣管內管置放之成人患者，透過人工智慧模型分析胸部 X 光影像，評估氣管內管（Endotracheal Tube, ETT）位置是否適當。
其主要目標為協助臨床醫療人員快速且準確判斷氣管內管位置，及早發現插管位置異常，以降低氣管內管滑脫及單側主支氣管插管等風險，提升病人安全、生命徵象穩定性及臨床照護品質。"""
警告與範圍外使用,"【官方核准登錄高分範例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型案名：氣管內管位置異常警示系統
指標項目：警告與範圍外使用
核准填報內容：
""1.本系統不適用於未滿18歲患者之胸部X光影像分析。
2.本系統僅限經教育訓練之醫師使用。
3.本系統僅提供醫師作為臨床決策輔助參考，不可作為唯一診斷依據，醫師仍須依循標準醫療流程進行診斷與處置。
4.本系統僅用於胸部X光醫學影像分析，不可取代完整之病人臨床評估。系統分流頁面之案例排序僅供醫師參考，不代表病情嚴重程度或處置優先順序。
5.本系統提供之警示影像僅供輔助判讀，醫療團隊仍應依照標準醫療流程確認原始胸部X光影像及病人臨床狀況。
6.本系統之影像判讀可能出現偽陽性（False Positive）或偽陰性（False Negative）結果，所有AI分析結果仍須由醫師進行最終確認，並依循標準醫療流程完成閱片與判讀。
7.使用本系統前，應確認病人識別資訊正確，以避免影像誤植或誤判。
8.本系統安裝於使用單位伺服器，使用端電腦無須安裝額外軟體，可透過瀏覽器連線至伺服器進行操作。
9.使用本系統前，應確認醫療影像儲存與傳輸系統（PACS）連線正常，以確保AI分析流程順利執行。
10.所有伺服器與使用端瀏覽器之通訊皆採用至少256位元TLS 1.2以上加密機制，以確保資料傳輸安全。
11.建議使用單位安裝具防火牆功能之防毒軟體，並定期更新防毒軟體及作業系統（Ubuntu、Windows），以維持資訊安全及系統穩定性。"""
開發詳情及輸入特徵,"【官方核准登錄高分範例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型案名：氣管內管位置異常警示系統
指標項目：開發詳情及輸入特徵
核准填報內容：
""本系統採用 YOLOv5 深度學習物件偵測模型進行開發，使用3,261張胸部X光影像進行模型訓練，並隨機挑選326張影像作為模型內部測試及驗證；另使用546張未納入訓練資料集之去識別化胸部X光影像進行外部驗證，以評估模型之泛化能力。
本研究納入18歲以上受試者，共計3,214人，涵蓋不同性別及年齡層。系統透過偵測氣管隆突（Carina）、氣管內管（ETT）及氣切管（TT）的位置，若同時偵測到Carina與ETT且未偵測到TT，則自動量測ETT管尖至Carina之距離，評估ETT位置是否適當。
系統主要由監測模組、物件偵測模組、位置評估模組及顯示模組組成。監測模組負責接收胸部X光影像；物件偵測模組採用YOLOv5辨識Carina、ETT及TT位置；位置評估模組依據ETT管尖至Carina距離（正常範圍3–5公分）評估ETT位置；顯示模組則呈現物件標註、距離量測、位置評估及警示資訊，並輸出JSON格式資料供院內系統整合。
本系統之ETT位置判定依據成人氣管內管放置臨床指引及本醫院胸腔內科醫師共同制定之黃金標準，建議ETT管尖位於Carina上方3至5公分，以降低管路移位及單側主支氣管插管等風險。
依據上述判定標準，系統將ETT位置分為灰燈、綠燈、黃燈及警示燈四種狀態。灰燈表示無法完整判定ETT位置；綠燈表示ETT位置適當；黃燈表示ETT位置略偏離最佳範圍，需持續觀察；警示燈表示ETT位置異常，提醒醫療人員進一步評估並視情況調整管路位置。"""
確保公平性的過程,"【官方核准登錄高分範例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型案名：氣管內管位置異常警示系統
指標項目：確保公平性的過程
核准填報內容：
""本系統使用18歲以上成人胸部X光影像進行模型開發，共納入3,214位受試者，涵蓋不同性別及年齡層，以提升模型於不同族群之適用性。模型訓練資料由胸腔內科醫師依一致標註規範完成Carina、ETT及TT之標註，並建立黃金標準作為模型訓練與驗證依據，以降低人為標註差異。另使用未納入訓練資料集之去識別化影像進行外部驗證，以評估模型於不同資料集之泛化能力及穩定性，降低模型偏差並提升臨床應用之可靠性。"""
外部驗證過程,"【官方核准登錄高分範例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型案名：氣管內管位置異常警示系統
指標項目：外部驗證過程
核准填報內容：
""本系統除使用546張未納入模型訓練之去識別化胸部X光影像進行外部驗證外，亦完成跨院驗證，於五家醫學中心進行模型驗證，以評估模型於不同醫療機構、影像設備及臨床場域之適用性與泛化能力。
外部驗證資料均未參與模型訓練，並以胸腔內科醫師判讀結果作為黃金標準，比較AI模型於氣管隆突（Carina）、氣管內管（ETT）及氣切管（TT）之辨識結果，以及ETT位置判定之準確性與一致性，確認模型於不同資料來源仍具穩定之辨識能力。
跨院驗證結果顯示，本系統於不同醫療院所皆能維持良好且穩定之模型效能，具備跨院部署及臨床應用之可行性，可協助醫療人員快速評估氣管內管位置，提升臨床決策效率及病人安全。"""
量化表現指標,"【官方核准登錄高分範例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型案名：氣管內管位置異常警示系統
指標項目：量化表現指標
核准填報內容：
""本系統以外部驗證資料及跨院驗證資料評估模型效能，並以胸腔內科醫師判讀結果作為黃金標準，比較AI模型於氣管隆突（Carina）、氣管內管（ETT）、氣切管（TT）辨識及ETT位置判定之準確性。模型驗證結果顯示，靈敏度（Sensitivity）為0.963、特異度（Specificity）為0.964、平均精確度（mAP@50）為0.966、偽陽性率（False Positive Rate, FPR）為0.04、偽陰性率（False Negative Rate, FNR）為0.04，AUC（Area Under the ROC Curve）為0.96，顯示模型具有良好之辨識能力、穩定性及泛化能力。"""
持續維護與監控,"【官方核准登錄高分範例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型案名：氣管內管位置異常警示系統
指標項目：持續維護與監控
核准填報內容：
""本系統部署於院內平台，並與醫療影像儲存與傳輸系統（PACS）及醫療資訊系統（HIS）完成整合，由監測模組自動接收符合條件之胸部X光影像並執行AI分析。系統由人工智慧創新應用中心負責日常維運、功能更新及異常排除，並定期監測系統運作狀態及模型推論結果，確保系統穩定運作。
系統使用期間持續蒐集使用者回饋及臨床需求，必要時由胸腔內科醫師及AI團隊共同檢視模型判讀結果，評估是否需進行模型優化或版本更新。模型更新前均須完成效能驗證及相關測試，確認模型效能未降低且符合臨床需求後，始得部署至正式環境，以維持系統之安全性、穩定性及臨床可靠性。
系統分析結果僅供臨床決策輔助使用，不取代醫療人員之專業判讀，醫療人員仍應依病人臨床狀況、原始影像及相關檢查結果進行綜合判斷。"""
更新與持續驗證計畫,"【官方核准登錄高分範例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型案名：氣管內管位置異常警示系統
指標項目：更新與持續驗證計畫
核准填報內容：
""本系統將持續監測模型於臨床場域之使用情形及推論結果，定期蒐集使用者回饋、模型效能及臨床應用成效，作為模型持續優化之依據。若因臨床需求、醫療指引更新或資料特性改變而需進行模型更新，將重新蒐集代表性資料，並完成模型訓練、內部驗證、外部驗證及效能評估，確認模型效能不低於現行版本後，始得部署至正式環境。
此外，將持續評估模型於不同性別、年齡及臨床族群之模型表現，定期檢視是否存在系統性偏差或公平性問題，必要時調整訓練資料組成或模型參數，以降低模型偏差並提升不同族群之適用性與公平性。模型更新及版本異動均依院內人工智慧管理機制執行，保留相關驗證紀錄及版本管理資訊，以確保系統之安全性、可靠性及可追溯性。"""
可解釋性分析,"【官方核准登錄高分範例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型案名：氣管內管位置異常警示系統
指標項目：可解釋性分析
核准填報內容：
""本系統採用YOLOv5物件偵測模型，自動辨識胸部X光影像中的氣管隆突（Carina）、氣管內管（ETT）及氣切管（TT）位置，並於影像上標示各物件之偵測框及模型信心分數。當系統同時辨識到Carina與ETT且未偵測到TT時，將自動量測ETT管尖至Carina之距離，並依據成人氣管內管放置臨床指引及本院胸腔內科醫師共同制定之黃金標準，判定ETT位置是否適當。
分析結果以灰燈、綠燈、黃燈及警示燈四種燈號呈現，同步顯示物件標註結果、ETT至Carina距離及位置評估結果，使醫療人員能清楚了解AI判斷依據，而非僅提供單一判定結果。醫療人員可搭配原始胸部X光影像進行比對，確認AI辨識位置及距離量測是否符合臨床判讀。
本系統所有分析結果僅供臨床決策輔助參考，不取代醫師專業判讀；當影像品質不佳、解剖構造不清楚或超出模型適用範圍時，仍應由醫療人員依病人臨床狀況、原始影像及相關檢查結果進行綜合判斷，以確保病人安全及醫療品質。"""
